paper_key,depth_max,depth_mean,domain_binary,domain_continuous,domain_integer,domain_non_negative,motif_big_m,motif_capacity,motif_flow_balance,motif_headway,motif_modulo,n_formulas,n_objectives,share_bigop,share_equality,share_inequality,sym_index,sym_parameter,sym_var_param_ratio,sym_variable
10.1016_j.trc.2017.07.014,7,5.28571,0,0,0,0,0.142857,0.035714,0,0.107143,0,28,2,0.178571,0.321429,0.607143,4,9,0.333333,3
10.1016_j.trc.2018.02.006,8,5.87879,0,0,0,0,0.151515,0.030303,0,0,0,33,1,0.212121,0.545455,0.242424,10,6,0.833333,5
10.1016_j.trc.2018.02.016,8,5.93333,0,0,0,0,0,0.133333,0.133333,0,0,15,4,0.533333,0.2,0.4,5,7,0.142857,1
10.1016_j.trc.2020.102823,11,6.25581,3,0,0,0,0,0.181818,0.181818,0,0,44,6,0.659091,0.568182,0.227273,16,9,0.333333,3
10.1016_j.trc.2020.102889,10,5.25,0,0,0,0,0,0,0,0,0,32,8,0.5625,0.65625,0.21875,0,0,0,0
10.1016_j.trc.2020.102925,8,4.89655,0,0,0,2,0,0,0.017241,0,0,58,5,0.362069,0.706897,0.206897,10,8,1,8
10.1016_j.trc.2020.102960,10,6.44118,0,0,0,0,0,0.026316,0.052632,0,0,38,3,0.736842,0.710526,0.078947,10,6,1,6
10.1016_j.trc.2021.102963,10,5.81482,0,0,0,0,0,0,0,0.018182,0,55,1,0.509091,0.636364,0.290909,6,10,1.8,18
10.1016_j.trc.2021.103080,9,5.25455,0,0,0,1,0,0,0,0,0,60,1,0.283333,0.4,0.5,4,14,0.571429,8
10.1016_j.trc.2021.103170,4,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10.1016_j.trc.2021.103209,13,5.46939,0,0,0,0,0.020408,0.020408,0,0.040816,0,49,1,0.55102,0.632653,0.367347,6,9,1.66667,15
10.1016_j.trc.2021.103368,11,5.71429,0,0,0,0,0,0,0,0,0,7,1,0.142857,0.428571,0.142857,0,0,1,1
10.1016_j.trc.2022.103676,13,6.28571,0,0,0,0,0,0.047619,0,0,0,21,1,0.333333,0.809524,0.095238,5,6,1,6
10.1016_j.trc.2022.103708,10,5.32727,0,0,0,0,0.169492,0,0,0.101695,0,59,2,0.474576,0.457627,0.389831,10,7,2.71429,19
10.1016_j.trc.2022.103805,9,5.44828,4,0,1,2,0,0.096774,0.032258,0,0,31,4,0.387097,0.322581,0.290323,17,6,1.16667,7
10.1016_j.trc.2022.103994,12,7.12121,0,0,0,0,0,0.138889,0.055556,0,0,36,4,0.666667,0.583333,0.138889,10,2,1.5,3
10.1016_j.trc.2023.104150,9,5.97436,0,0,0,0,0.051282,0.051282,0.153846,0,0,39,4,0.358974,0.282051,0.512821,6,4,2.25,9
10.1016_j.trc.2023.104155,10,5.38889,0,0,0,0,0,0,0,0,0,18,0,0.277778,0.833333,0.166667,0,0,0,0
10.1016_j.trc.2023.104201,14,6.33824,1,0,0,1,0,0.014286,0.142857,0,0,70,7,0.485714,0.828571,0.028571,10,11,0.363636,4
10.1016_j.trc.2023.104278,8,5.53968,0,0,0,1,0,0.063492,0,0.015873,0,63,4,0.206349,0.460317,0.507937,7,11,0.909091,10
10.1016_j.trc.2024.104526,12,6.76471,1,0,0,1,0,0.016667,0.016667,0,0,60,1,0.683333,0.733333,0.116667,14,25,0.32,8
10.1016_j.trc.2024.104681,10,5.60465,0,0,0,0,0.116279,0.046512,0,0.034884,0,86,3,0.395349,0.581395,0.325581,14,11,1.45454,16
10.1016_j.trc.2024.104893,9,6.64957,0,0,1,0,0.152542,0.042373,0,0,0,118,1,0.381356,0.381356,0.415254,2,13,1.30769,17
10.1016_j.trc.2025.105001,10,5.8,8,0,0,1,0.081481,0.133333,0.014815,0,0,135,4,0.607407,0.214815,0.414815,19,21,0.761905,16
10.1016_j.trc.2025.105076,11,6.41333,0,0,0,2,0.013158,0.078947,0.065789,0,0,76,4,0.539474,0.75,0.197368,17,22,0.590909,13
10.1016_j.trc.2025.105078,8,5.96825,0,0,0,2,0.047619,0.047619,0.015873,0,0,63,2,0.301587,0.349206,0.650794,0,0,0,0
10.1016_j.trc.2025.105286,9,4.84466,0,0,2,0,0,0,0,0,0,109,1,0.183486,0.66055,0.266055,13,39,0.461538,18
10.1016_j.trc.2025.105441,12,6.27273,1,0,2,0,0.06383,0.021277,0.06383,0,0,47,3,0.531915,0.553191,0.319149,4,12,1.58333,19
10.1016_j.tre.2010.05.002,7,5.5,1,0,0,0,0,0.285714,0,0,0,14,2,0.714286,0.571429,0.285714,14,6,1,6
10.1016_j.tre.2013.01.013,9,5.23529,0,0,0,0,0,0.263158,0.052632,0,0,19,1,0.684211,0.473684,0.315789,8,28,0.428571,12
10.1016_j.tre.2016.04.007,9,5.61905,3,0,0,3,0.166667,0,0.047619,0,0,42,1,0.357143,0.071429,0.595238,0,0,0,0
10.1016_j.tre.2016.07.015,7,5.41026,1,0,0,0,0.05,0.05,0,0.15,0,40,3,0.225,0.275,0.625,10,8,0.75,6
10.1016_j.tre.2017.06.001,11,5.82,0,0,0,0,0.04,0.04,0.02,0.02,0,50,0,0.32,0.52,0.4,7,13,1.15385,15
10.1016_j.tre.2020.101882,8,4.90698,0,0,0,0,0,0,0,0,0,43,2,0.27907,0.651163,0.302326,6,6,1,6
10.1016_j.tre.2021.102492,9,5.78125,1,0,0,0,0,0.0625,0.0625,0,0,32,2,0.53125,0.46875,0.21875,0,0,0,0
10.1016_j.tre.2022.102622,9,5.42424,0,0,0,0,0.028571,0,0,0.2,0,35,1,0.428571,0.542857,0.4,6,12,0.75,9
10.1016_j.tre.2022.102942,12,5.20619,0,0,0,1,0.030928,0,0,0,0,97,11,0.185567,0.659794,0.28866,5,16,0.6875,11
10.1016_j.tre.2023.103142,9,5.66667,0,0,0,0,0,0,0,0.021739,0,46,3,0.26087,0.782609,0.173913,7,9,1.44444,13
10.1016_j.tre.2023.103339,9,5.39506,0,0,0,0,0.035714,0.059524,0,0.011905,0,84,3,0.357143,0.761905,0.214286,15,20,0.85,17
10.1016_j.tre.2024.103429,9,6,0,0,0,0,0,0,0,0,0,7,3,0.285714,0.285714,0,1,9,0.111111,1
10.1016_j.tre.2024.103605,9,6.21212,1,0,0,0,0,0.020202,0.020202,0,0,99,0,0.20202,0.161616,0.727273,11,22,0.727273,16
10.1016_j.tre.2024.103900,9,5.2037,0,0,0,3,0.055556,0,0.092593,0,0,54,10,0.222222,0.574074,0.185185,5,5,0.8,4
10.1016_j.tre.2025.104177,10,6.26316,0,0,0,0,0,0.102564,0.025641,0,0,39,3,0.641026,0.410256,0.410256,13,15,0.4,6
10.1016_j.tre.2025.104210,11,6.27027,4,0,1,0,0.216216,0.027027,0.027027,0.135135,0,37,0,0.432432,0.378378,0.486486,8,19,0.578947,11
10.1016_j.tre.2025.104641,10,5.62687,0,0,0,1,0,0.029851,0,0,0,67,3,0.164179,0.462687,0.537313,8,13,1,13
10.1016_j.tre.2026.104704,10,6.62791,0,1,0,0,0.134831,0.044944,0.011236,0,0,89,5,0.460674,0.382022,0.348315,9,20,0.75,15
10.1016_s0927-0507_06_14003-7,8,4.76364,3,0,0,1,0,0.138462,0.046154,0,0.015385,65,10,0.676923,0.261538,0.353846,6,6,0.833333,5
